No,;Time;;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;;Delay1;;Delay 2;;Jitter
33;0,796871;;104,22,1,235;192,168,100,98;TCP;56;443  >  56801 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;0,796871;0,796947;;7,60E-05;;0,059164;;0,059088
34;0,796947;;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;0,796947;0,856111;;0,059164;;0,065579;;0,006415
35;0,856111;;104,22,1,235;192,168,100,98;TCP;56;443  >  56801 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;0,856111;0,92169;;0,065579;;0,063982;;0,001597
37;0,92169;;192,168,100,98;104,22,1,235;TCP;54;[TCP Retransmission] 56799  >  443 [FIN, ACK] Seq=1 Ack=2 Win=510 Len=0;;;0,92169;0,985672;;0,063982;;0,117414;;0,053432
38;0,985672;;104,22,1,235;192,168,100,98;TCP;56;443  >  56799 [ACK] Seq=2 Ack=2 Win=67 Len=0;;;0,985672;1,103086;;0,117414;;0,00011;;0,117304
39;1.103.086;1,103086;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56801 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;1,103086;1,103196;;0,00011;;0,01336;;0,01325
40;1.103.196;1,103196;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 32#1] 56801  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;1,103196;1,116556;;0,01336;;0,000201;;0,013159
41;1.116.556;1,116556;104,22,1,235;192,168,100,98;TCP;955;[TCP Out-Of-Order] 443  >  56801 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901;;;1,116556;1,116757;;0,000201;;0,000799;;0,000598
42;1.116.757;1,116757;192,168,100,98;104,22,1,235;TCP;54;56801  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;1,116757;1,117556;;0,000799;;0,062941;;0,062142
43;1.117.556;1,117556;192,168,100,98;104,22,1,235;TCP;54;56801  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;1,117556;1,180497;;0,062941;;0,003725;;0,059216
45;1.180.497;1,180497;104,22,1,235;192,168,100,98;TCP;56;443  >  56801 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;1,180497;1,184222;;0,003725;;0,080342;;0,076617
46;1.184.222;1,184222;192,168,100,98;104,22,1,235;TCP;66;56802  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;1,184222;1,264564;;0,080342;;0,000237;;0,080105
47;1.264.564;1,264564;104,22,1,235;192,168,100,98;TCP;66;443  >  56802 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;1,264564;1,264801;;0,000237;;0,000947;;0,00071
48;1.264.801;1,264801;192,168,100,98;104,22,1,235;TCP;54;56802  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;1,264801;1,265748;;0,000947;;0,090298;;0,089351
49;1.265.748;1,265748;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;1,265748;1,356046;;0,090298;;0,023082;;0,067216
50;1.356.046;1,356046;104,22,1,235;192,168,100,98;TCP;54;443  >  56802 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;1,356046;1,379128;;0,023082;;0,002167;;0,020915
51;1.379.128;1,379128;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;1,379128;1,381295;;0,002167;;0,069749;;0,067582
52;1.381.295;1,381295;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;1,381295;1,451044;;0,069749;;0,000106;;0,069643
54;1.451.044;1,451044;104,22,1,235;192,168,100,98;TCP;56;443  >  56802 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;1,451044;1,45115;;0,000106;;0,059387;;0,059281
55;1.451.150;1,45115;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;1,45115;1,510537;;0,059387;;0,230351;;0,170964
56;1.510.537;1,510537;104,22,1,235;192,168,100,98;TCP;56;443  >  56802 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;1,510537;1,740888;;0,230351;;0,000122;;0,230229
58;1.740.888;1,740888;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56802 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;1,740888;1,74101;;0,000122;;0,01564;;0,015518
59;1.741.010;1,74101;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 52#1] 56802  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;1,74101;1,75665;;0,01564;;0,000204;;0,015436
60;1.756.650;1,75665;104,22,1,235;192,168,100,98;TCP;955;[TCP Out-Of-Order] 443  >  56802 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901;;;1,75665;1,756854;;0,000204;;0,000769;;0,000565
61;1.756.854;1,756854;192,168,100,98;104,22,1,235;TCP;54;56802  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;1,756854;1,757623;;0,000769;;0,052617;;0,051848
62;1.757.623;1,757623;192,168,100,98;104,22,1,235;TCP;54;56802  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;1,757623;1,81024;;0,052617;;0,045649;;0,006968
