No,;Time;;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;;Delay1;;Delay 2;;Jitter
501;9.407.033;9,407033;192,168,100,98;104,22,1,235;TCP;54;56814  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;9,407033;9,470325;;0,063292;;0,031153;;0,032139
502;9.470.325;9,470325;192,168,100,98;104,22,1,235;TCP;66;56815  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;9,470325;9,501478;;0,031153;;0,077456;;0,046303
503;9.501.478;9,501478;104,22,1,235;192,168,100,98;TCP;56;443  >  56814 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;9,501478;9,578934;;0,077456;;0,000174;;0,077282
505;9.578.934;9,578934;104,22,1,235;192,168,100,98;TCP;66;443  >  56815 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;9,578934;9,579108;;0,000174;;0,002313;;0,002139
506;9.579.108;9,579108;192,168,100,98;104,22,1,235;TCP;54;56815  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;9,579108;9,581421;;0,002313;;0,117458;;0,115145
507;9.581.421;9,581421;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;9,581421;9,698879;;0,117458;;0,019446;;0,098012
508;9.698.879;9,698879;104,22,1,235;192,168,100,98;TCP;54;443  >  56815 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;9,698879;9,718325;;0,019446;;0,001889;;0,017557
509;9.718.325;9,718325;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;9,718325;9,720214;;0,001889;;0,133906;;0,132017
510;9.720.214;9,720214;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;9,720214;9,85412;;0,133906;;0,000121;;0,133785
511;9.854.120;9,85412;104,22,1,235;192,168,100,98;TCP;56;443  >  56815 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;9,85412;9,854241;;0,000121;;0,160236;;0,160115
512;9.854.241;9,854241;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;9,854241;10,014477;;0,160236;;0,16749;;0,007254
513;10.014.477;10,014477;104,22,1,235;192,168,100,98;TCP;56;443  >  56815 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;10,014477;10,181967;;0,16749;;0,040731;;0,126759
514;10.181.967;10,181967;192,168,100,98;103,208,137,6;TCP;55;55909  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU];;;10,181967;10,222698;;0,040731;;0,011532;;0,029199
515;10.222.698;10,222698;192,168,100,98;103,208,137,6;TCP;55;55912  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU];;;10,222698;10,23423;;0,011532;;0,006788;;0,004744
516;10.234.230;10,23423;103,208,137,6;192,168,100,98;TCP;66;443  >  55909 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2;;;10,23423;10,241018;;0,006788;;0,000109;;0,006679
517;10.241.018;10,241018;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56815 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;10,241018;10,241127;;0,000109;;0,013958;;0,013849
518;10.241.127;10,241127;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 510#1] 56815  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;10,241127;10,255085;;0,013958;;0,001412;;0,012546
519;10.255.085;10,255085;192,168,100,98;103,208,137,6;TCP;55;55908  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU];;;10,255085;10,256497;;0,001412;;0,000227;;0,001185
520;10.256.497;10,256497;104,22,1,235;192,168,100,98;TCP;955;[TCP Out-Of-Order] 443  >  56815 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901;;;10,256497;10,256724;;0,000227;;0,000763;;0,000536
521;10.256.724;10,256724;192,168,100,98;104,22,1,235;TCP;54;56815  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;10,256724;10,257487;;0,000763;;0,008902;;0,008139
522;10.257.487;10,257487;192,168,100,98;104,22,1,235;TCP;54;56815  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;10,257487;10,266389;;0,008902;;0,022837;;0,013935
523;10.266.389;10,266389;103,208,137,6;192,168,100,98;TCP;66;443  >  55912 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2;;;10,266389;10,289226;;0,022837;;0,01939;;0,003447
524;10.289.226;10,289226;103,208,137,6;192,168,100,98;TCP;66;443  >  55908 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2;;;10,289226;10,308616;;0,01939;;0,049427;;0,030037
525;10.308.616;10,308616;192,168,100,98;104,22,1,235;TCP;66;56816  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;10,308616;10,358043;;0,049427;;0,000274;;0,049153
526;10.358.043;10,358043;104,22,1,235;192,168,100,98;TCP;66;443  >  56816 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;10,358043;10,358317;;0,000274;;0,000807;;0,000533
527;10.358.317;10,358317;192,168,100,98;104,22,1,235;TCP;54;56816  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;10,358317;10,359124;;0,000807;;0,048778;;0,047971
528;10.359.124;10,359124;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;10,359124;10,407902;;0,048778;;0,018242;;0,030536
529;10.407.902;10,407902;104,22,1,235;192,168,100,98;TCP;54;443  >  56816 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;10,407902;10,426144;;0,018242;;0,002317;;0,015925
530;10.426.144;10,426144;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;10,426144;10,428461;;0,002317;;0,043497;;0,04118
531;10.428.461;10,428461;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;10,428461;10,471958;;0,043497;;0,000106;;0,043391
532;10.471.958;10,471958;104,22,1,235;192,168,100,98;TCP;54;[TCP Retransmission] 443  >  56815 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;10,471958;10,472064;;0,000106;;0,020135;;0,020029
533;10.472.064;10,472064;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 521#1] 56815  >  443 [ACK] Seq=1071 Ack=1026 Win=130560 Len=0;;;10,472064;10,492199;;0,020135;;6,20E-05;;0,020073
534;10.492.199;10,492199;104,22,1,235;192,168,100,98;TCP;56;443  >  56816 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;10,492199;10,492261;;6,20E-05;;0,056635;;0,056573
535;10.492.261;10,492261;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;10,492261;10,548896;;0,056635;;0,048143;;0,008492
536;10.548.896;10,548896;104,22,1,235;192,168,100,98;TCP;56;443  >  56816 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;10,548896;10,597039;;0,048143;;0,052459;;0,004316
537;10.597.039;10,597039;192,168,100,98;104,22,1,235;TCP;54;[TCP Retransmission] 56815  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;10,597039;10,649498;;0,052459;;0,129667;;0,077208
538;10.649.498;10,649498;104,22,1,235;192,168,100,98;TCP;56;443  >  56815 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;10,649498;10,779165;;0,129667;;0,000136;;0,129531
539;10.779.165;10,779165;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56816 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;10,779165;10,779301;;0,000136;;0,017512;;0,017376
540;10.779.301;10,779301;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 531#1] 56816  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;10,779301;10,796813;;0,017512;;0,000283;;0,017229
541;10.796.813;10,796813;104,22,1,235;192,168,100,98;TCP;955;[TCP Out-Of-Order] 443  >  56816 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901;;;10,796813;10,797096;;0,000283;;0,000723;;0,00044
542;10.797.096;10,797096;192,168,100,98;104,22,1,235;TCP;54;56816  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;10,797096;10,797819;;0,000723;;0,051454;;0,050731
543;10.797.819;10,797819;192,168,100,98;104,22,1,235;TCP;54;56816  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;10,797819;10,849273;;0,051454;;0,009409;;0,042045
544;10.849.273;10,849273;192,168,100,98;104,22,1,235;TCP;66;56817  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;10,849273;10,858682;;0,009409;;0,080603;;0,071194
545;10.858.682;10,858682;104,22,1,235;192,168,100,98;TCP;56;443  >  56816 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;10,858682;10,939285;;0,080603;;0,006703;;0,0739
546;10.939.285;10,939285;192,168,100,98;172.217.194.113;TCP;55;56548  >  443 [ACK] Seq=1 Ack=1 Win=507 Len=1 [TCP segment of a reassembled PDU];;;10,939285;10,945988;;0,006703;;0,000243;;0,00646
547;10.945.988;10,945988;104,22,1,235;192,168,100,98;TCP;66;443  >  56817 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;10,945988;10,946231;;0,000243;;0,001206;;0,000963
548;10.946.231;10,946231;192,168,100,98;104,22,1,235;TCP;54;56817  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;10,946231;10,947437;;0,001206;;0,017166;;0,01596
549;10.947.437;10,947437;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;10,947437;10,964603;;0,017166;;0,031572;;0,014406
550;10.964.603;10,964603;172.217.194.113;192,168,100,98;TCP;66;443  >  56548 [ACK] Seq=1 Ack=2 Win=407 Len=0 SLE=1 SRE=2;;;10,964603;10,996175;;0,031572;;0,007573;;0,023999
551;10.996.175;10,996175;192,168,100,98;172.217.194.154;TCP;55;56450  >  443 [ACK] Seq=1 Ack=1 Win=507 Len=1 [TCP segment of a reassembled PDU];;;10,996175;11,003748;;0,007573;;0,009308;;0,001735
552;11.003.748;11,003748;104,22,1,235;192,168,100,98;TCP;54;443  >  56817 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;11,003748;11,013056;;0,009308;;0,003262;;0,006046
553;11.013.056;11,013056;172.217.194.154;192,168,100,98;TCP;66;443  >  56450 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2;;;11,013056;11,016318;;0,003262;;0,001441;;0,001821
554;11.016.318;11,016318;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;11,016318;11,017759;;0,001441;;0,050724;;0,049283
555;11.017.759;11,017759;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;11,017759;11,068483;;0,050724;;0,000136;;0,050588
556;11.068.483;11,068483;104,22,1,235;192,168,100,98;TCP;56;443  >  56817 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;11,068483;11,068619;;0,000136;;0,051192;;0,051056
557;11.068.619;11,068619;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;11,068619;11,119811;;0,051192;;0,228862;;0,17767
558;11.119.811;11,119811;104,22,1,235;192,168,100,98;TCP;56;443  >  56817 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;11,119811;11,348673;;0,228862;;0,000117;;0,228745
559;11.348.673;11,348673;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56817 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;11,348673;11,34879;;0,000117;;0,00869;;0,008573
560;11.348.790;11,34879;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 555#1] 56817  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;11,34879;11,35748;;0,00869;;0,000172;;0,008518
561;11.357.480;11,35748;104,22,1,235;192,168,100,98;TCP;955;[TCP Out-Of-Order] 443  >  56817 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901;;;11,35748;11,357652;;0,000172;;0,000627;;0,000455
562;11.357.652;11,357652;192,168,100,98;104,22,1,235;TCP;54;56817  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;11,357652;11,358279;;0,000627;;0,037285;;0,036658
563;11.358.279;11,358279;192,168,100,98;104,22,1,235;TCP;54;56817  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;11,358279;11,395564;;0,037285;;0,015843;;0,021442
564;11.395.564;11,395564;192,168,100,98;104,22,1,235;TCP;66;56818  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;11,395564;11,411407;;0,015843;;0,03749;;0,021647
565;11.411.407;11,411407;104,22,1,235;192,168,100,98;TCP;56;443  >  56817 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;11,411407;11,448897;;0,03749;;0,000231;;0,037259
566;11.448.897;11,448897;104,22,1,235;192,168,100,98;TCP;66;443  >  56818 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;11,448897;11,449128;;0,000231;;0,001064;;0,000833
567;11.449.128;11,449128;192,168,100,98;104,22,1,235;TCP;54;56818  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;11,449128;11,450192;;0,001064;;0,049369;;0,048305
568;11.450.192;11,450192;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;11,450192;11,499561;;0,049369;;0,01669;;0,032679
569;11.499.561;11,499561;104,22,1,235;192,168,100,98;TCP;54;443  >  56818 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;11,499561;11,516251;;0,01669;;0,001682;;0,015008
570;11.516.251;11,516251;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;11,516251;11,517933;;0,001682;;0,053039;;0,051357
571;11.517.933;11,517933;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;11,517933;11,570972;;0,053039;;0,000117;;0,052922
572;11.570.972;11,570972;104,22,1,235;192,168,100,98;TCP;56;443  >  56818 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;11,570972;11,571089;;0,000117;;0,006733;;0,006616
573;11.571.089;11,571089;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;11,571089;11,577822;;0,006733;;0,013811;;0,007078
574;11.577.822;11,577822;192,168,100,98;209,85,229,219;TCP;55;56728  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1 [TCP segment of a reassembled PDU];;;11,577822;11,591633;;0,013811;;0,030201;;0,01639
575;11.591.633;11,591633;209,85,229,219;192,168,100,98;TCP;66;443  >  56728 [ACK] Seq=1 Ack=2 Win=316 Len=0 SLE=1 SRE=2;;;11,591633;11,621834;;0,030201;;0,242808;;0,212607
576;11.621.834;11,621834;104,22,1,235;192,168,100,98;TCP;56;443  >  56818 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;11,621834;11,864642;;0,242808;;1,00E-04;;0,242708
577;11.864.642;11,864642;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56818 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;11,864642;11,864742;;1,00E-04;;0,011714;;0,011614
578;11.864.742;11,864742;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 571#1] 56818  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;11,864742;11,876456;;0,011714;;0,000259;;0,011455
579;11.876.456;11,876456;104,22,1,235;192,168,100,98;TCP;955;[TCP Out-Of-Order] 443  >  56818 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901;;;11,876456;11,876715;;0,000259;;0,000691;;0,000432
580;11.876.715;11,876715;192,168,100,98;104,22,1,235;TCP;54;56818  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;11,876715;11,877406;;0,000691;;0,036354;;0,035663
581;11.877.406;11,877406;192,168,100,98;104,22,1,235;TCP;54;56818  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;11,877406;11,91376;;0,036354;;0,018857;;0,017497
582;11.913.760;11,91376;192,168,100,98;104,22,1,235;TCP;66;56819  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;11,91376;11,932617;;0,018857;;0,027862;;0,009005
583;11.932.617;11,932617;104,22,1,235;192,168,100,98;TCP;56;443  >  56818 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;11,932617;11,960479;;0,027862;;0,000174;;0,027688
584;11.960.479;11,960479;104,22,1,235;192,168,100,98;TCP;66;443  >  56819 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;11,960479;11,960653;;0,000174;;0,000902;;0,000728
585;11.960.653;11,960653;192,168,100,98;104,22,1,235;TCP;54;56819  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;11,960653;11,961555;;0,000902;;0,046439;;0,045537
586;11.961.555;11,961555;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;11,961555;12,007994;;0,046439;;0,018301;;0,028138
587;12.007.994;12,007994;104,22,1,235;192,168,100,98;TCP;54;443  >  56819 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;12,007994;12,026295;;0,018301;;0,001717;;0,016584
588;12.026.295;12,026295;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;12,026295;12,028012;;0,001717;;0,061115;;0,059398
589;12.028.012;12,028012;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;12,028012;12,089127;;0,061115;;9,40E-05;;0,061021
590;12.089.127;12,089127;104,22,1,235;192,168,100,98;TCP;56;443  >  56819 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;12,089127;12,089221;;9,40E-05;;0,047568;;0,047474
591;12.089.221;12,089221;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;12,089221;12,136789;;0,047568;;0,233505;;0,185937
592;12.136.789;12,136789;104,22,1,235;192,168,100,98;TCP;56;443  >  56819 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;12,136789;12,370294;;0,233505;;0,000118;;0,233387
593;12.370.294;12,370294;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56819 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;12,370294;12,370412;;0,000118;;0,016165;;0,016047
594;12.370.412;12,370412;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 589#1] 56819  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;12,370412;12,386577;;0,016165;;0,000246;;0,015919
595;12.386.577;12,386577;104,22,1,235;192,168,100,98;TCP;955;[TCP Out-Of-Order] 443  >  56819 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901;;;12,386577;12,386823;;0,000246;;0,000616;;0,00037
596;12.386.823;12,386823;192,168,100,98;104,22,1,235;TCP;54;56819  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;12,386823;12,387439;;0,000616;;0,049404;;0,048788
597;12.387.439;12,387439;192,168,100,98;104,22,1,235;TCP;54;56819  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;12,387439;12,436843;;0,049404;;0,0014;;0,048004
598;12.436.843;12,436843;104,22,1,235;192,168,100,98;TCP;56;443  >  56819 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;12,436843;12,438243;;0,0014;;0,051182;;0,049782
599;12.438.243;12,438243;192,168,100,98;104,22,1,235;TCP;66;56820  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;12,438243;12,489425;;0,051182;;0,000179;;0,051003
600;12.489.425;12,489425;104,22,1,235;192,168,100,98;TCP;66;443  >  56820 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;12,489425;12,489604;;0,000179;;0,000846;;0,000667
601;12.489.604;12,489604;192,168,100,98;104,22,1,235;TCP;54;56820  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;12,489604;12,49045;;0,000846;;0,290246;;0,2894
602;12.490.450;12,49045;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;12,49045;12,780696;;0,290246;;0,057384;;0,232862
603;12.780.696;12,780696;192,168,100,98;104,22,1,235;TCP;372;[TCP Retransmission] 56820  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131584 Len=318;;;12,780696;12,83808;;0,057384;;0,019923;;0,037461
604;12.838.080;12,83808;104,22,1,235;192,168,100,98;TCP;54;443  >  56820 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;12,83808;12,858003;;0,019923;;0,002642;;0,017281
605;12.858.003;12,858003;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;12,858003;12,860645;;0,002642;;0,051579;;0,048937
606;12.860.645;12,860645;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;12,860645;12,912224;;0,051579;;0,000142;;0,051437
607;12.912.224;12,912224;104,22,1,235;192,168,100,98;TCP;56;443  >  56820 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;12,912224;12,912366;;0,000142;;0,050819;;0,050677
608;12.912.366;12,912366;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;12,912366;12,963185;;0,050819;;0,228476;;0,177657
609;12.963.185;12,963185;104,22,1,235;192,168,100,98;TCP;56;443  >  56820 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;12,963185;13,191661;;0,228476;;0,000134;;0,228342
610;13.191.661;13,191661;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56820 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;13,191661;13,191795;;0,000134;;0,014252;;0,014118
611;13.191.795;13,191795;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 606#1] 56820  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;13,191795;13,206047;;0,014252;;0,00019;;0,014062
612;13.206.047;13,206047;104,22,1,235;192,168,100,98;TCP;955;[TCP Out-Of-Order] 443  >  56820 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901;;;13,206047;13,206237;;0,00019;;0,000696;;0,000506
613;13.206.237;13,206237;192,168,100,98;104,22,1,235;TCP;54;56820  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;13,206237;13,206933;;0,000696;;0,045914;;0,045218
614;13.206.933;13,206933;192,168,100,98;104,22,1,235;TCP;54;56820  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;13,206933;13,252847;;0,045914;;0,007133;;0,038781
615;13.252.847;13,252847;192,168,100,98;104,22,1,235;TCP;66;56821  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;13,252847;13,25998;;0,007133;;0,055236;;0,048103
616;13.259.980;13,25998;104,22,1,235;192,168,100,98;TCP;56;443  >  56820 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;13,25998;13,315216;;0,055236;;0,000217;;0,055019
617;13.315.216;13,315216;104,22,1,235;192,168,100,98;TCP;66;443  >  56821 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;13,315216;13,315433;;0,000217;;0,000992;;0,000775
618;13.315.433;13,315433;192,168,100,98;104,22,1,235;TCP;54;56821  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;13,315433;13,316425;;0,000992;;0,038377;;0,037385
619;13.316.425;13,316425;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;13,316425;13,354802;;0,038377;;0,015346;;0,023031
620;13.354.802;13,354802;192,168,100,98;216,239,38,120;TCP;55;56456  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU];;;13,354802;13,370148;;0,015346;;0,007811;;0,007535
621;13.370.148;13,370148;216,239,38,120;192,168,100,98;TCP;66;443  >  56456 [ACK] Seq=1 Ack=2 Win=269 Len=0 SLE=1 SRE=2;;;13,370148;13,377959;;0,007811;;0,018346;;0,010535
622;13.377.959;13,377959;104,22,1,235;192,168,100,98;TCP;54;443  >  56821 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;13,377959;13,396305;;0,018346;;0,002135;;0,016211
623;13.396.305;13,396305;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;13,396305;13,39844;;0,002135;;0,059329;;0,057194
624;13.398.440;13,39844;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;13,39844;13,457769;;0,059329;;1,00E-04;;0,059229
625;13.457.769;13,457769;104,22,1,235;192,168,100,98;TCP;56;443  >  56821 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;13,457769;13,457869;;1,00E-04;;0,058575;;0,058475
626;13.457.869;13,457869;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;13,457869;13,516444;;0,058575;;0,119289;;0,060714
627;13.516.444;13,516444;104,22,1,235;192,168,100,98;TCP;56;443  >  56821 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;13,516444;13,635733;;0,119289;;0,028781;;0,090508
628;13.635.733;13,635733;192,168,100,98;74,125,130,94;TCP;55;56157  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU];;;13,635733;13,664514;;0,028781;;0,080513;;0,051732
629;13.664.514;13,664514;74,125,130,94;192,168,100,98;TCP;66;443  >  56157 [ACK] Seq=1 Ack=2 Win=273 Len=0 SLE=1 SRE=2;;;13,664514;13,745027;;0,080513;;0,000118;;0,080395
630;13.745.027;13,745027;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56821 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;13,745027;13,745145;;0,000118;;0,011195;;0,011077
631;13.745.145;13,745145;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 624#1] 56821  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;13,745145;13,75634;;0,011195;;0,000166;;0,011029
632;13.756.340;13,75634;104,22,1,235;192,168,100,98;TCP;955;[TCP Out-Of-Order] 443  >  56821 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901;;;13,75634;13,756506;;0,000166;;0,000948;;0,000782
633;13.756.506;13,756506;192,168,100,98;104,22,1,235;TCP;54;56821  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;13,756506;13,757454;;0,000948;;0,042155;;0,041207
